
07/01/24,DEBIT CARD TRANSFER CREDIT VENMO*JIANG A San Jose CAUS06065,Income,,0,1575,
07/01/24,Monthly Service Fee,Miscellaneous,Fee,12,0,1679.37
07/02/24,Mobile Purchase PIN Based D2723 CVS/PHARM 11132--187 E New York NYUS07159,Miscellaneous,Retail,26.65,0,1628.62
07/02/24,Mobile Purchase PIN Based D2723 MARSHALLS 197 E HOUSTO NEW YORK NYUS07153,Miscellaneous,Retail,8.7,0,
07/02/24,Zelle Debit PAY ID:CTIW1gwbdZuf ORG ID:JPM NAME:SHREY TAYAL,Miscellaneous,Digital Payment,15.4,0,
07/03/24,"Mobile Purchase Sign Based 07/01 03:04a #7164 APF*HELM MANAGEMENT, I NEW YORK NY 24184",Housing,,1609.99,0,11.48
07/03/24,Mobile Purchase Sign Based 07/01 11:38p #7164 D2723 MTA*NYCT PAYGO NEW YORK NY 24184 Misc Transportation,Transportation,Public,4.25,0,
07/03/24,Mobile Purchase Sign Based 07/01 11:39p #7164 D2723 MTA*NYCT PAYGO NEW YORK NY 24184 Misc Transportation,Transportation,Public,2.9,0,
07/05/24,Mobile Purchase PIN Based D2723 TRADER JO TRADER JOES NEW YORK NYUS07154,Food,Food & Beverage,2.69,0,18.9
07/05/24,Transfer From Money Market 03:43p #7164 ONLINE Reference # 000681,Income,,0,10.11,
07/05/24,Transfer to Checking 03:43p #7164 ONLINE Reference # 000681,Miscellaneous,Digital Payment,10.11,0,0
07/08/24,Debit Card Purchase 07/03 07:47a #7164 DD/BR #346983 NEW YORK NY 24186 Restaurant/Bar,Food,Restaurant,9.03,0,9.87
07/09/24,Incoming Wire Transfer WIRE FROM 1/JIANG XIAOXU,Income,,0,5085,
07/09/24,Transfer From Money Market 08:22a #7164 ONLINE Reference # 001748,Income,,0,2500,
07/09/24,Transfer to Checking 08:22a #7164 ONLINE Reference # 001748,Miscellaneous,Digital Payment,2500,0,2585
07/09/24,Debit Card Purchase 07/06 03:43a #7164 MTA*NYCT PAYGO RECOVER 718-330-1234 NY 24189 Misc Transportation,Transportation,Public,2.9,0,2501.17
